Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
328,2024-05-06_11:23:17__clean_paper,7,7,0.52,0.5698568820953369,0.3340041514185571,4.409907404833659,"[0.5493342280387878, 0.31826072931289673, 0.21971967816352844]","[0.5672022104263306, 0.306657999753952, 0.20289380848407745]",[-0.49387425  0.50551194  0.50295115 -0.49758023],"[-0.702900767326355, -0.0015600573970004916, -0.001297077746130526, 0.7112850546836853]"
329,2024-05-06_11:23:17__clean_paper,91,7,0.67,0.6283413171768188,0.3783756054662611,4.506653688860224,"[0.5595602989196777, 0.3335460424423218, 0.21929579973220825]","[0.5599163174629211, 0.3233072757720947, 0.20126460492610931]",[-0.4822382   0.51704013  0.51457626 -0.48510525],"[-0.692278265953064, 0.010602591559290886, -0.015077895484864712, 0.7213951945304871]"
330,2024-05-06_11:23:17__clean_paper,74,14,0.65,0.6293087005615234,0.3367685392356926,4.786724592411811,"[0.5259215235710144, -0.29858529567718506, 0.1979520320892334]","[0.48004674911499023, -0.27876079082489014, 0.21880000829696655]",[-0.49000648  0.51151907  0.50620234 -0.49193609],"[0.5079455971717834, -0.4904003441333771, 0.5103508830070496, 0.4909590482711792]"
331,2024-05-06_11:23:17__clean_paper,51,7,0.59,0.6320202946662903,0.39260316015149854,4.421371549669195,"[0.5447922945022583, 0.31948167085647583, 0.21918824315071106]","[0.5574862957000732, 0.3059521019458771, 0.20566435158252716]",[-0.48683557  0.5126282   0.50940561 -0.49062139],"[-0.7025066018104553, -0.0009815371595323086, -0.006648333743214607, 0.7116454839706421]"
332,2024-05-06_11:23:17__clean_paper,80,14,0.65,0.6313676238059998,0.3290292669061913,4.812531064872454,"[0.5563759207725525, -0.3059558868408203, 0.19820159673690796]","[0.4992881119251251, -0.28565728664398193, 0.22653646767139435]",[-0.48752511  0.51361293  0.50810474 -0.49025562],"[0.5123597383499146, -0.489080548286438, 0.5173565149307251, 0.48023948073387146]"
333,2024-05-06_11:23:17__clean_paper,266,14,1.1,0.7015765905380249,0.4115828893739689,4.6797519236225895,"[0.5322620272636414, -0.2809847593307495, 0.19794675707817078]","[0.5242287516593933, -0.25791892409324646, 0.18482045829296112]",[ 0.51906234 -0.48042485 -0.47364706  0.52480924],"[0.47769734263420105, -0.4573934078216553, 0.5535625219345093, 0.5061274766921997]"
334,2024-05-06_11:23:17__clean_paper,32,14,0.56,0.5697676539421082,0.2819065233977609,4.653782085444219,"[0.5404399037361145, -0.2863253355026245, 0.19808471202850342]","[0.5028228163719177, -0.2713439166545868, 0.2191547453403473]",[-0.49689567  0.50520122  0.49986395 -0.49799845],"[0.504905104637146, -0.4926145076751709, 0.5127083659172058, 0.48941999673843384]"
335,2024-05-06_11:23:17__clean_paper,108,14,0.7,0.6545137763023376,0.3332858037081673,4.732421429438303,"[0.5446556210517883, -0.2788836359977722, 0.19805869460105896]","[0.49404609203338623, -0.26206567883491516, 0.22575229406356812]",[ 0.49958482 -0.50156844 -0.49639371  0.50243145],"[0.5134069919586182, -0.48932838439941406, 0.5162943601608276, 0.48001155257225037]"
336,2024-05-06_11:23:17__clean_paper,197,7,0.91,0.7102214097976685,0.350592103013603,4.63763238052366,"[0.5529135465621948, 0.33117973804473877, 0.21956700086593628]","[0.538563072681427, 0.3185100555419922, 0.21247883141040802]",[-0.48425472  0.51668978  0.51335019 -0.4847686 ],"[-0.6802239418029785, 0.023352229967713356, -0.03422553837299347, 0.7318323850631714]"
337,2024-05-06_11:23:17__clean_paper,69,7,0.63,0.6495842933654785,0.433591567552316,4.439881622323555,"[0.5500370860099792, 0.33074629306793213, 0.219580739736557]","[0.5606502890586853, 0.31439507007598877, 0.20141330361366272]",[-0.47970006  0.52028251  0.51529962 -0.48338416],"[-0.7015249729156494, 0.003991123288869858, -0.007989245466887951, 0.712588906288147]"
