Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
892,2024-05-02_11-11-26,147,7,0.66,0.7312429547309875,0.32110090077014436,4.388012826213181,"[0.5646209716796875, 0.311501145362854, 0.2199242115020752]","[0.5820556879043579, 0.30189448595046997, 0.19330696761608124]",[-1.95121439e-03  6.08354865e-04 -7.92060047e-03  9.99966562e-01],"[-0.6986948251724243, -0.0033953434322029352, 0.0002398289361735806, 0.7154117822647095]"
893,2024-05-02_11-11-26,533,7,1.1,0.8864529132843018,0.5330837336751513,4.498408504368142,"[0.5347333550453186, 0.3068571090698242, 0.21998894214630127]","[0.5404502153396606, 0.2893495559692383, 0.2011859118938446]",[-2.38970271e-03  6.93066977e-04  1.68977305e-02  9.99854147e-01],"[-0.6787263751029968, 0.01040699053555727, -0.022638879716396332, 0.7339684367179871]"
894,2024-05-02_11-11-26,453,7,1.03,0.8670068383216858,0.5910607087441632,4.486707194577832,"[0.5528260469436646, 0.3121641278266907, 0.22018668055534363]","[0.552370011806488, 0.29437193274497986, 0.19659368693828583]",[-2.43624253e-03 -7.40250762e-05  1.13546080e-03  9.99996364e-01],"[-0.6771131753921509, 0.010875705629587173, -0.022357895970344543, 0.7354587316513062]"
895,2024-05-02_11-11-26,595,7,1.19,0.9254215955734253,0.5501198173974431,4.536612079706466,"[0.540235698223114, 0.3012416362762451, 0.21995407342910767]","[0.5335028171539307, 0.2898275852203369, 0.20680829882621765]",[-6.81448262e-04  6.50395305e-05 -1.75654353e-03  9.99998212e-01],"[-0.6799150109291077, 0.015539172105491161, -0.0315895602107048, 0.7324453592300415]"
896,2024-05-02_11-11-26,182,14,0.71,0.7095978856086731,0.2187542206980532,4.831045104987204,"[0.5399719476699829, -0.3293968439102173, 0.1990438848733902]","[0.48985567688941956, -0.302063524723053, 0.2231336534023285]",[-1.33844663e-03  4.27734311e-04  1.98436268e-02  9.99802113e-01],"[0.5130612850189209, -0.4946692883968353, 0.5050545930862427, 0.4868164658546448]"
897,2024-05-02_11-11-26,341,7,0.87,0.8477137684822083,0.5867610174988692,4.4091361264817355,"[0.5609076619148254, 0.3040371537208557, 0.21977803111076355]","[0.5643313527107239, 0.2890796661376953, 0.19867511093616486]",[-1.09377876e-03  1.46929640e-04 -1.60044909e-03  9.99998093e-01],"[-0.6926705241203308, 0.0009456973057240248, -0.014776450581848621, 0.7211021184921265]"
898,2024-05-02_11-11-26,159,7,0.68,0.7472819089889526,0.3807205286685945,4.37360798657408,"[0.5452995300292969, 0.30423426628112793, 0.21990936994552612]","[0.5652622580528259, 0.29141324758529663, 0.20146995782852173]",[-1.38049724e-03  5.63710812e-04  9.32777184e-04  9.99998450e-01],"[-0.7019287347793579, -0.004485652782022953, 0.0015312796458601952, 0.7122313976287842]"
899,2024-05-02_11-11-26,185,7,0.72,0.7815598845481873,0.38006154424941024,4.3810237811819475,"[0.5571289658546448, 0.3091087341308594, 0.21980631351470947]","[0.5707015991210938, 0.2944640815258026, 0.19725248217582703]",[-2.22062645e-03  5.85538801e-04 -1.28727164e-02  9.99914527e-01],"[-0.6995251774787903, -0.0018659804482012987, -0.0017405330436304212, 0.7146034240722656]"
900,2024-05-02_11-11-26,563,7,1.15,0.8939065933227539,0.5490687625863429,4.511543319481834,"[0.5469273328781128, 0.30156421661376953, 0.21987277269363403]","[0.5413076877593994, 0.2854362428188324, 0.2042699009180069]",[-3.01334308e-03  8.77062266e-04  5.18837292e-03  9.99981642e-01],"[-0.6761770844459534, 0.01502396259456873, -0.02613164111971855, 0.7361222505569458]"
901,2024-05-02_11-11-26,451,7,1.03,0.8984789848327637,0.6120818870012087,4.545028202881953,"[0.5512686371803284, 0.3146643042564392, 0.21997860074043274]","[0.5372548699378967, 0.3046318590641022, 0.2246173918247223]",[-1.74698164e-03  1.63303805e-04 -1.33336140e-02  9.99909580e-01],"[-0.6889573931694031, 0.009986519813537598, -0.019630692899227142, 0.7244670987129211]"
902,2024-05-02_11-11-26,273,7,0.81,0.8351991772651672,0.4372895011486428,4.4100349148459825,"[0.5651525259017944, 0.31502652168273926, 0.21998059749603271]","[0.5736488699913025, 0.3014138638973236, 0.19371066987514496]",[-2.91459938e-03  4.50330408e-04 -2.51259208e-02  9.99679923e-01],"[-0.693672239780426, -0.0010803304612636566, -0.008718439377844334, 0.7202371954917908]"
903,2024-05-02_11-11-26,389,7,0.94,0.865373969078064,0.6250388811113617,4.4758411202237545,"[0.5661072134971619, 0.3123244643211365, 0.21958401799201965]","[0.553586483001709, 0.30311861634254456, 0.20311866700649261]",[-4.57664166e-04  6.24322623e-04 -2.13393215e-02  9.99772012e-01],"[-0.6902356743812561, 0.006667912006378174, -0.019388964399695396, 0.7232940196990967]"
904,2024-05-02_11-11-26,58,14,0.56,0.5708616971969604,0.16873676109936958,4.74268461553357,"[0.5677538514137268, -0.3247532844543457, 0.19876335561275482]","[0.5211967825889587, -0.2946712374687195, 0.23929834365844727]",[-1.70893245e-03  6.43702224e-04  8.82917643e-03  9.99959350e-01],"[0.5235472917556763, -0.49915528297424316, 0.49559491872787476, 0.4807576835155487]"
905,2024-05-02_11-11-26,253,7,0.78,0.8320981860160828,0.42183148613328136,4.412662972442713,"[0.5579600930213928, 0.31326431035995483, 0.22011014819145203]","[0.5549249649047852, 0.2975282073020935, 0.21836550533771515]",[-0.00346018  0.00108179 -0.00639344  0.999973  ],"[-0.7065647840499878, 0.0006725750863552094, -0.004808126483112574, 0.7076317071914673]"
906,2024-05-02_11-11-26,305,7,0.84,0.8329687118530273,0.5103097086818253,4.460708970271341,"[0.5771240592002869, 0.32968801259994507, 0.22070464491844177]","[0.5787241458892822, 0.31574854254722595, 0.20004336535930634]",[-2.96487915e-03  8.06515047e-04 -1.99158955e-02  9.99796927e-01],"[-0.6945830583572388, 0.0030586915090680122, -0.013356990180909634, 0.7192819714546204]"
907,2024-05-02_11-11-26,207,7,0.75,0.8048998117446899,0.4447336913139014,4.384977339979758,"[0.5567046999931335, 0.3040010333061218, 0.21988603472709656]","[0.5646490454673767, 0.2928368151187897, 0.20209848880767822]",[-2.50084628e-03  8.04987678e-04 -9.86247323e-03  9.99947906e-01],"[-0.7013491988182068, -0.0024925481993705034, -0.007555386517196894, 0.7127734422683716]"
908,2024-05-02_11-11-26,507,7,1.08,0.8875424861907959,0.6113252095304693,4.4942123396243545,"[0.5379698276519775, 0.30327749252319336, 0.2199224829673767]","[0.5405158996582031, 0.290839284658432, 0.2032107561826706]",[-1.40969956e-03  5.80613087e-05 -5.20324009e-03  9.99985456e-01],"[-0.6828984022140503, 0.010774891823530197, -0.023906685411930084, 0.730042576789856]"
909,2024-05-06_15:31:11,295,7,0.852,0.8586524724960327,0.5027930777412041,4.441430465287261,"[0.5473446249961853, 0.31324446201324463, 0.2200760841369629]","[0.5512165427207947, 0.30269044637680054, 0.20811551809310913]",[-2.89370934e-03  7.11734523e-04 -2.13192478e-02  9.99768257e-01],"[-0.6989268660545349, 0.0006625795504078269, -0.01180412620306015, 0.7150954008102417]"
910,2024-05-06_15:31:11,424,14,0.989,0.840364933013916,0.42413849164905054,4.675995543688968,"[0.5235425233840942, -0.27842772006988525, 0.21895483136177063]","[0.49217405915260315, -0.25169628858566284, 0.20356056094169617]",[-3.63847613e-03  2.24413016e-04  4.69918130e-03  9.99982297e-01],"[0.4918649196624756, -0.47067245841026306, 0.536971390247345, 0.49819478392601013]"
911,2024-05-06_15:31:11,75,7,0.576,0.6555587649345398,0.325603254325231,4.383821250467801,"[0.5627864003181458, 0.3160492777824402, 0.22019028663635254]","[0.5787799954414368, 0.3013124465942383, 0.19153785705566406]",[-1.23835960e-03  8.85166402e-04 -3.37413093e-03  9.99993145e-01],"[-0.7004778981208801, -0.0055923182517290115, -0.002714160829782486, 0.7136470079421997]"
